group,name,pre,input,target area,strain,starter,ratio_target_all,area,keep,PTLp,TEa,VIS,AUD,RSP,Thal,Thal_noLGd,Dist_ctx,VISp,VISpm,VISl,VISam,VISal,RSPagl,RSPd,RSPv,AM,LD,LP,LGd,ORB,ACA,MOs,CLA
2,ERAD25_1b,3.9570802596579,3.9252089214120036,PM,GLT,0.9030899869919435,1.0,PM,1,2.4082399653118496,1.6812412373755872,3.4466924663715273,2.250420002308894,3.3070679506612985,3.2605483726369795,3.2119210843085093,2.99563519459755,3.0916669575956846,2.82865989653532,2.584331224367531,2.526339277389844,2.225309281725863,2.550228353055094,2.8260748027008264,3.0013009330204183,2.247973266361807,2.6138418218760693,3.017450729510536,2.285557309007774,2.494154594018443,2.0718820073061255,1.5185139398778875,1.6532125137753437
5,ERAB23_1b,3.891258616904139,3.8676442339030985,PM,TLX,1.7993405494535817,1.0,PM,1,1.8573324964312685,1.863322860120456,3.4029488293444046,2.305351369446624,3.2008504980910772,3.1687920203141817,3.153814864344529,2.9003671286564705,3.0025979807199086,2.8382192219076257,2.561101383649056,2.4899584794248346,2.2068258760318495,2.404833716619938,2.7323937598229686,2.8998205024270964,2.0755469613925306,2.5921767573958667,2.9614210940664485,1.6989700043360187,2.432969290874406,2.0569048513364727,1.3979400086720377,1.5797835966168101
5,ERAB23_3g,4.325495138564264,4.30496420183769,PM,TLX,2.0681858617461617,1.0,PM,1,2.8779469516291885,2.3483048630481607,3.793161529245551,2.6954816764901977,3.6940784620807596,3.5460488664017342,3.504742636271688,3.473632926873841,3.4626974081017172,2.9552065375419416,3.0965624383741357,2.9232440186302764,2.505149978319906,3.1192558892779365,3.252124552505644,3.2650537885040145,2.387389826338729,2.7958800173440754,3.3669829759778507,2.503790683057181,2.88930170250631,2.622214022966295,2.123851640967086,2.2430380486862944
11,BRAC3859_1b,4.236007926032121,4.223755453657241,PM,RETRO,2.0863598306747484,0.975409836,PM,1,2.5550944485783194,2.2355284469075487,3.7866804531966487,2.6232492903979003,3.5873741720730656,3.281714970027296,3.2615007731982804,3.5081255360831993,3.529558673021163,2.929418925714293,2.8808135922807914,2.9079485216122722,2.4983105537896004,2.833784374656479,3.116939646550756,3.2732328340430454,2.4683473304121573,2.7234556720351857,3.0013009330204183,1.9395192526186185,3.1781132523146316,2.7715874808812555,2.037426497940624,1.806179973983887
11,ERAA10_4j,4.161427900791294,4.138207932668164,PM,RETRO,2.315970345456918,0.93236715,PM,1,2.7058637122839193,2.385606273598312,3.4749443354653877,2.8228216453031045,3.25478968739721,3.331832044436249,3.197280558125619,3.449324093098727,3.0718820073061255,2.1818435879447726,2.8830933585756897,2.4756711883244296,2.7708520116421442,2.507855871695831,2.8363241157067516,2.8976270912904414,2.4683473304121573,2.8506462351830666,2.7573960287930244,2.7573960287930244,1.9731278535996986,2.9206450014067875,2.4313637641589874,2.303196057420489
9,ERAE25_3a,4.866505908507804,4.827020146123575,PM,RBP,2.505149978319906,0.959375,PM,1,3.4347285417797577,3.305566313515304,4.292898175018025,3.6040099324122306,4.061150780928549,3.837335868015015,3.7333577879255855,4.195954973023524,4.082677680648112,3.294466226161593,3.339053735709139,3.2182728535714475,3.237040791379191,3.4342494523964757,3.5420781463356255,3.725094521081469,2.8992731873176036,3.13481437032046,3.512550992904211,3.165541076722373,3.345765693114488,3.3754807146185724,3.2062860444124324,2.8709888137605755
8,ERAE26_6c,4.352722637462018,4.326130956710794,PM,RBP,2.5289167002776547,1.0,PM,1,3.020775488193558,2.727541257028556,3.630834517828051,3.035829825252828,3.4871383754771865,3.625621081424908,3.533136288278639,3.7417816961431667,3.26030994579492,2.7715874808812555,2.964259630196849,2.639486489268586,2.7032913781186614,2.9159272116971158,2.858537197569639,3.182984967003582,2.5705429398818973,2.9694159123539814,3.3240765797394864,2.90848501887865,3.143014800254095,2.873320601815399,2.513217600067939,2.586587304671755
8,ERAE23_3c,4.974101613625115,4.907803553649506,PM,RBP,2.6830470382388496,0.9336099585062241,PM,1,3.089905111439398,3.3406423775607053,4.282984440133955,3.408748606184244,4.240723929318846,3.900476371389257,3.8685856665587655,4.22502482910913,4.019240950395851,3.5186455243303114,3.3690302218091532,3.3261309567107946,2.9885589568786157,3.6490426340861766,3.7715874808812555,3.847572659142112,3.0038911662369103,3.230193378869046,3.670338641127442,2.7505083948513462,3.6586790285824486,3.650598898172657,2.9122220565324155,2.9813655090785445
5,ERAB13_5b,4.764796110342733,4.725601311108638,PM,TLX,2.7126497016272113,1.0,PM,1,3.1231980750319988,3.1389339402569236,4.2286826097129655,3.426998958756537,4.06918692515191,3.775974331129369,3.75373622217501,4.0408791245157865,3.976304116552003,3.513350798805957,3.2011238972073794,3.2430380486862944,2.9355072658247128,3.3783979009481375,3.619719265611727,3.71357453777207,2.8709888137605755,3.1903316981702914,3.5287881917748964,2.4742162640762553,3.3322364154914434,3.3211840273023143,2.8715729355458786,2.79309160017658
5,ERAB13_5d,4.706051751857066,4.683173163548232,PM,TLX,2.8898617212581885,1.0,PM,1,3.2593549273080344,3.0211892990699383,4.300421557383072,3.3900514964589874,3.9251573271758984,3.7089305358066165,3.6278776945799716,3.9367649976099415,4.030437792627049,3.636989101812229,3.286456469746983,3.179838928023187,3.165541076722373,3.29269900304393,3.4702634469650784,3.5443161417474274,2.622214022966295,3.0236639181977933,3.4424797690644486,2.9400181550076634,2.9867717342662448,3.09377178149873,2.919601023784111,2.44870631990508
8,ERAE28_2a,4.947124802197618,4.90088033073888,PM,RBP,3.17260293120986,0.999327957,PM,1,3.504470862494419,3.395501124305626,4.33631961625354,3.6895752157599384,4.12456942932084,3.9496826907952043,3.8949249773595436,4.320623955053538,4.1016439854903135,3.182129214052998,3.5750723257138124,3.2474822606770544,3.3027637084729817,3.4358443659844413,3.686546899063006,3.7585334222372864,2.9169800473203824,3.252124552505644,3.7191654940892134,3.0232524596337114,3.572987708198205,3.5883837683787276,3.193958978019187,3.0678145111618402
